med,classRank,OR_std,OR,SE_OR,numInClass
208,47,4.85498656456477,.65727568,.13538156,6
209,47,5.10116963641341,2.0919788,.41009787,6
210,47,3.305263414177317,.92246169,.27908871,6
212,47,.0027200990725573,.000018845698,.0069283131,6
213,48,19.34904846314333,1.3280008,.068633907,3
214,48,7.915185043615026,1.2913417,.16314737,3
215,48,.8738729676442969,1.2199513,1.3960282,3
216,49,14.7707040740558,1.9178315,.12984022,1
217,50,18.63095277362803,.92583716,.049693495,3
218,50,2.831467461991583,2.6919515,.95072663,3
219,50,1.026698506123389,.25915205,.252413,3
221,51,8.793913239504239,1.3625374,.15494096,3
222,51,4.634150932212719,1.1417274,.24637252,3
223,51,1.764451660274857,1.4434913,.81809628,3
224,52,23.56920059009104,1.0550698,.044764768,4
225,52,10.37095297030499,.96046942,.092611492,4
226,52,5.323644872199144,1.0762222,.2021589,4
227,52,2.726277952529007,4.609448,1.6907476,4
228,53,18.17495592681606,2.5575323,.14071739,3
229,53,3.488726864762169,.96678287,.27711624,3
230,53,.9157598508559874,.40972054,.44741046,3
231,54,13.62647350332271,2.8572872,.20968647,7
232,54,12.29914796870467,1.5977813,.12990992,7
233,54,7.607181097616694,2.6001053,.34179616,7
234,54,4.720135302989485,1.4030608,.29725012,7
235,54,4.720135302989485,1.4030608,.29725012,7
236,54,1.773706963467306,.72696686,.40985736,7
237,54,.9743624684445243,1.0757017,1.1040057,7
238,55,9.869997228757208,.94361389,.095604271,3
239,55,2.971577368107457,.78076619,.26274469,3
240,55,1.540197202084604,2.0626945,1.3392406,3
241,56,14.1440418353475,2.9492319,.20851408,2
242,56,12.52923889076799,3.4189591,.27287844,2
243,57,8.595502225595087,1.1118945,.12935771,5
244,57,8.459352365427328,1.8855577,.22289622,5
245,57,1.874545646130108,1.8322995,.97746325,5
246,57,1.018472820318667,1.9279583,1.8929894,5
248,57,.0028917491208183,.000016380334,.0056645074,5
249,58,19.55286378715192,1.637185,.083731212,1
250,59,10.54364999634593,1.1060865,.10490546,9
251,59,10.63290260452271,1.2817039,.1205413,9
252,59,10.59204504350854,1.2368382,.11677048,9
253,59,3.465446203139469,.96249324,.27774006,9
254,59,3.708327639923738,.61792803,.16663253,9
255,59,2.842157859367012,.85556608,.30102694,9
256,59,1.590476585912713,.58221245,.36606163,9
257,59,2.073033943186328,1.3303995,.64176446,9
258,59,1.174819479834342,.90232551,.7680546,9
259,60,22.96852490187572,1.0540743,.045892119,2
260,60,1.685366628539258,1.2262064,.72756064,2
261,61,16.92222416734152,.89918149,.053136129,2
262,61,10.42957784797801,1.0653541,.10214739,2
263,62,13.90365935710299,1.1924465,.085764937,4
264,62,7.534226250612753,1.0029011,.13311268,4
265,62,2.598196992916046,1.1658863,.44872898,4
266,62,1.266547078100601,.8580997,.6775111,4
268,63,11.7548146692129,2.1226423,.18057641,3
269,63,5.689598962396959,1.6503935,.29007202,3
270,63,1.434945245410318,1.0010475,.69762069,3
271,64,8.856519963475549,1.2592943,.14218839,4
272,64,1.17511932251426,1.3495766,1.1484592,4
273,64,1.957811300561477,1.864948,.95256782,4
274,64,1.272774740237453,.83615702,.65695602,4
275,65,18.32590790946272,1.2675825,.069168881,4
276,65,6.796716438794032,1.4172684,.20852251,4
277,65,4.141827406803263,1.2605523,.30434689,4
278,65,3.634923334268316,1.3772148,.37888414,4
280,66,8.58029889003266,.89347196,.10413063,2
281,66,5.176929748169983,.85711443,.16556424,2
282,67,18.39648520519041,.77825981,.04230481,5
283,67,6.134558036875553,.71935177,.1172622,5
284,67,4.332498300428822,.62505329,.14427087,5
285,67,2.400739660309275,.36225525,.15089318,5
286,67,1.932126871113923,.29451594,.15243095,5
287,68,10.76265087458493,1.081571,.10049299,5
288,68,6.961945775052219,1.0506891,.15091889,5
289,68,5.649108385652641,1.0531273,.18642363,5
290,68,.9659724471090856,.29069397,.30093402,5
291,68,1.192914115202652,.8631646,.72357649,5
292,69,9.107288566558877,2.6277235,.28852972,4
293,69,4.392841982109005,2.0369945,.46370766,4
294,69,6.875148160092214,2.8597312,.41595194,4
295,69,1.789836839297531,1.6570253,.92579687,4
296,70,18.31262416262875,1.3733238,.074993283,4
297,70,5.401892254041401,1.0042336,.18590404,4
298,70,3.118642815500869,.99879724,.32026663,4
299,70,1.25116115059369,1.0278264,.82149804,4
300,71,7.976564285694709,.86739087,.10874242,7
301,71,3.287284972600629,.68321347,.20783518,7
302,71,2.207999960091241,1.0552635,.47792733,7
303,71,1.254941018203938,.72722638,.57949048,7
304,71,2.002220705685579,.76988524,.38451567,7
305,71,.9873718620596458,1.7036866,1.7254761,7
306,71,.0251360404165965,.00053280749,.021196954,7
307,72,16.73092147252836,.9308461,.055636272,3
308,72,7.568940769810326,1.3109051,.17319532,3
309,72,2.63242626669575,1.2667534,.48121136,3
